"","species1","species2","SI","site"
"230","Veratrum_tenuipetalum","Eriogonum_umbellatum"," 0.000000e+00","Road"
"231","Achillea_millefolium","Gayophytum_diffusum"," 1.110223e-16","Road"
"232","Agoseris_aurantiaca","Gayophytum_diffusum"," 0.000000e+00","Road"
"233","Androsace_septentrionalis","Gayophytum_diffusum"," 0.000000e+00","Road"
"234","Artemisia_tridentata","Gayophytum_diffusum"," 0.000000e+00","Road"
"235","Chrysothamnus_viscidiflorus","Gayophytum_diffusum"," 0.000000e+00","Road"
"236","Cirsium_arvense","Gayophytum_diffusum"," 0.000000e+00","Road"
"237","Collomia_linearis","Gayophytum_diffusum"," 0.000000e+00","Road"
"238","Delphinium_nelsonii","Gayophytum_diffusum"," 0.000000e+00","Road"
"239","Erigeron_speciosus","Gayophytum_diffusum"," 3.933054e-01","Road"
"240","Eriogonum_umbellatum","Gayophytum_diffusum"," 0.000000e+00","Road"
"241","Gayophytum_diffusum","Gayophytum_diffusum"," 0.000000e+00","Road"
"242","Geranium_richardsonii","Gayophytum_diffusum"," 1.764706e-02","Road"
"243","Lathyrus_leucanthus","Gayophytum_diffusum"," 0.000000e+00","Road"
"244","Linaria_vulgaris","Gayophytum_diffusum"," 0.000000e+00","Road"
"245","Lupinus_bakeri","Gayophytum_diffusum"," 0.000000e+00","Road"
"246","Madia_glomerata","Gayophytum_diffusum"," 0.000000e+00","Road"
"247","Mertensia_ciliata","Gayophytum_diffusum",NA,"Road"
"248","Dasiphora_fruticosa","Gayophytum_diffusum"," 2.118227e-01","Road"
"249","Potentilla_gracilis","Gayophytum_diffusum"," 2.272727e-02","Road"
"250","Ranunculus_inamoenus","Gayophytum_diffusum"," 0.000000e+00","Road"
"251","Taraxacum_officinale","Gayophytum_diffusum"," 0.000000e+00","Road"
"252","Valeriana_occidentalis","Gayophytum_diffusum"," 0.000000e+00","Road"
"253","Veratrum_tenuipetalum","Gayophytum_diffusum"," 0.000000e+00","Road"
"254","Achillea_millefolium","Geranium_richardsonii"," 3.568627e-01","Road"
"255","Agoseris_aurantiaca","Geranium_richardsonii"," 3.764706e-01","Road"
"256","Androsace_septentrionalis","Geranium_richardsonii"," 1.176471e-02","Road"
"257","Artemisia_tridentata","Geranium_richardsonii"," 0.000000e+00","Road"
"258","Chrysothamnus_viscidiflorus","Geranium_richardsonii"," 2.352941e-02","Road"
"259","Cirsium_arvense","Geranium_richardsonii"," 0.000000e+00","Road"
"260","Collomia_linearis","Geranium_richardsonii"," 5.683824e-01","Road"
"261","Delphinium_nelsonii","Geranium_richardsonii"," 0.000000e+00","Road"
"262","Erigeron_speciosus","Geranium_richardsonii"," 3.195176e-01","Road"
"263","Eriogonum_umbellatum","Geranium_richardsonii"," 5.379085e-01","Road"
"264","Gayophytum_diffusum","Geranium_richardsonii"," 1.764706e-02","Road"
"265","Geranium_richardsonii","Geranium_richardsonii"," 0.000000e+00","Road"
"266","Lathyrus_leucanthus","Geranium_richardsonii"," 1.176471e-01","Road"
"267","Linaria_vulgaris","Geranium_richardsonii"," 2.352941e-02","Road"
"268","Lupinus_bakeri","Geranium_richardsonii"," 3.747899e-01","Road"
"269","Madia_glomerata","Geranium_richardsonii"," 0.000000e+00","Road"
"270","Mertensia_ciliata","Geranium_richardsonii",NA,"Road"
"271","Dasiphora_fruticosa","Geranium_richardsonii"," 5.258476e-01","Road"
"272","Potentilla_gracilis","Geranium_richardsonii"," 6.430481e-01","Road"
"273","Ranunculus_inamoenus","Geranium_richardsonii"," 5.882353e-02","Road"
"274","Taraxacum_officinale","Geranium_richardsonii"," 1.176471e-02","Road"
"275","Valeriana_occidentalis","Geranium_richardsonii"," 0.000000e+00","Road"
"276","Veratrum_tenuipetalum","Geranium_richardsonii"," 1.235294e-01","Road"
"277","Achillea_millefolium","Lathyrus_leucanthus"," 1.110223e-16","Road"
"278","Agoseris_aurantiaca","Lathyrus_leucanthus"," 0.000000e+00","Road"
